cuid,created_at,provider,model,temperature,input_tokens,output_tokens,P1. Leave the policy settings as they are.,P2. Policies that emphasise economic growth over climate change adaptation or mitigation.,P3. Policies that involve a dramatic cut back in CO2 emissions (by 50% in the next 10 years).,P4. Policies that involve a moderate cut in CO2 emissions (by 25% in over the next 10 years).,"P5. Adaptation policies and expenditure (e.g. coastal protection, water desalinisation, improving infrastructure etc). Planning controls and emergency response programs.","P6. Adaptation policies that target individual, small business or community-based actions (eg support the installation of alternative energy generators, insulation, water use efficiency)",P7. Preparing for climate risk through the development of new approaches and technologies that enhance resilience to the impacts of climate variability or change. 
66f5dcee-0923-4f47-a869-b90daf06a3dc,2025-03-20 10:55:17.107111+00:00,google,gemini-2.0-flash,0,3552,253,7,6,5,1,2,4,3
06060453-2c8f-4015-94e5-f167298f78e1,2025-03-20 10:55:21.823500+00:00,google,gemini-2.0-flash,0,3552,246,5,7,6,4,3,2,1
d832d280-b888-4dea-993d-48fb2ac80d23,2025-03-20 10:55:26.014787+00:00,google,gemini-2.0-flash,0,3554,250,7,6,4,3,1,2,5
2c6e77a9-13b2-44f8-b212-19c2f1200085,2025-03-20 10:55:30.221348+00:00,google,gemini-2.0-flash,0,3548,250,7,5,6,4,2,1,3
35a02fb7-ed38-4e2b-90c2-c74303c8dc5a,2025-03-20 10:55:34.913002+00:00,google,gemini-2.0-flash,0,3558,251,7,6,1,3,4,5,2
7e96b38a-0d03-4746-8da5-9efad451e86f,2025-03-20 10:55:39.646423+00:00,google,gemini-2.0-flash,0,3564,253,6,7,1,3,4,2,5
b3fe3851-a1e1-40fb-b648-bdb5c0fb0bf1,2025-03-20 10:55:43.842867+00:00,google,gemini-2.0-flash,0,3560,253,7,6,2,1,5,3,4
05e57c54-39f7-4d6e-8215-e4cac0016f7f,2025-03-20 10:55:47.857290+00:00,google,gemini-2.0-flash,0,3550,248,7,5,6,4,1,3,2
8ba47570-d0e4-422f-9a9d-a76daae610b3,2025-03-20 10:55:52.362435+00:00,google,gemini-2.0-flash,0,3556,253,6,7,5,4,1,3,2
102bc842-bd6b-43e9-8a10-e401bd013822,2025-03-20 10:55:56.481514+00:00,google,gemini-2.0-flash,0,3554,247,6,7,2,4,3,5,1
fd407d1e-e541-4928-8791-f5e33843e403,2025-03-25 13:50:17.501720+00:00,google,gemini-2.0-flash,0,3554,251,7,6,3,5,1,4,2
203afb7b-e2e5-43c8-aeef-f591db645d42,2025-03-25 13:50:21.163983+00:00,google,gemini-2.0-flash,0,3554,253,5,7,6,4,3,2,1
211ba3c4-73d1-4805-bf67-e430fd996327,2025-03-25 13:50:24.342065+00:00,google,gemini-2.0-flash,0,3554,250,7,6,4,3,1,2,5
f0393b48-6a9d-4e4e-a07c-f03f121f9d06,2025-03-25 13:50:27.449055+00:00,google,gemini-2.0-flash,0,3548,250,7,5,6,4,2,1,3
35616681-685a-4dcd-a068-af9d4f68fed2,2025-03-25 13:50:31.034188+00:00,google,gemini-2.0-flash,0,3558,255,7,6,1,3,2,5,4
316ee688-7afd-49ea-9a84-ed6438de64d1,2025-03-25 13:50:34.782176+00:00,google,gemini-2.0-flash,0,3564,253,6,7,1,3,4,2,5
e8307a7a-8e05-4078-a475-2e1acd5ebd5b,2025-03-25 13:50:37.945094+00:00,google,gemini-2.0-flash,0,3558,252,7,6,2,1,5,3,4
55a7b928-9daa-48df-882d-e76b9f9d728c,2025-03-25 13:50:41.134783+00:00,google,gemini-2.0-flash,0,3556,251,7,5,6,4,1,3,2
d657cbc9-97c1-4774-b8d4-6b4ee114d11b,2025-03-25 13:50:44.724868+00:00,google,gemini-2.0-flash,0,3556,253,6,7,5,4,1,3,2
478c2a31-4270-4707-951b-db5f84a06de8,2025-03-25 13:50:47.942238+00:00,google,gemini-2.0-flash,0,3558,251,6,7,1,5,2,3,4
e61533e3-3161-4e13-8711-7c80016e586b,2025-03-27 09:27:00.964550+00:00,google,gemini-2.0-flash,0,3552,250,7,5,6,1,3,4,2
7eca7c15-40d7-49c2-97f3-186a47a9d407,2025-03-27 09:27:04.483029+00:00,google,gemini-2.0-flash,0,3554,253,5,7,6,4,3,2,1
e02549bc-2e1b-4554-bab2-289d33f69aac,2025-03-27 09:27:07.698250+00:00,google,gemini-2.0-flash,0,3554,250,7,6,4,3,1,2,5
8adacd8e-b8e1-481f-9f75-b482a0671b3e,2025-03-27 09:27:10.875505+00:00,google,gemini-2.0-flash,0,3548,245,7,5,6,4,2,1,3
27abc322-18c5-4a5f-99e6-9dadb71ca262,2025-03-27 09:27:14.461861+00:00,google,gemini-2.0-flash,0,3556,254,7,6,1,3,2,5,4
7916b3df-ca5a-4897-9ec0-5592ca695903,2025-03-27 09:27:18.044905+00:00,google,gemini-2.0-flash,0,3564,253,6,7,1,3,4,2,5
2f685889-38a7-4298-97bd-b6446ae90ef1,2025-03-27 09:27:21.656597+00:00,google,gemini-2.0-flash,0,3558,252,7,6,2,1,5,3,4
547ff04d-5356-440f-b552-9273ef046d18,2025-03-27 09:27:24.816789+00:00,google,gemini-2.0-flash,0,3550,248,7,5,6,4,1,3,2
3dd1ac96-e5c2-441a-91c8-4d3c93b1e433,2025-03-27 09:27:28.589755+00:00,google,gemini-2.0-flash,0,3556,252,6,7,5,3,1,4,2
2c34931f-efdd-4d74-bc56-33395cd1fe2f,2025-03-27 09:27:31.765934+00:00,google,gemini-2.0-flash,0,3558,251,6,7,1,5,2,3,4
